symbol,asd,devreg,cns,housekeeping,gene_len,protein_len,transcripts,te,rvis
ABHD4,no link,non-devreg,non-CNS,housekeeping,14119,342,2,18,-0.98
ABHD5,no link,non-devreg,non-CNS,luxury,31843,349,2,34,-0.42
ABHD6,no link,non-devreg,non-CNS,luxury,57203,337,2,104,-0.49
ABHD8,no link,non-devreg,non-CNS,housekeeping,11343,439,2,27,-0.2
ABI1,no link,non-devreg,non-CNS,housekeeping,114492,508,24,219,-0.32
ABI2,no link,non-devreg,non-CNS,luxury,103890,475,10,173,-0.36
ABI3,no link,non-devreg,non-CNS,luxury,12999,366,4,21,-0.03
ABI3BP,no link,non-devreg,non-CNS,luxury,244156,1075,2,235,0.45
ABL1,no link,Devreg,CNS,luxury,173795,1149,4,377,-1.63
ABL2,no link,Devreg,CNS,luxury,43763,1167,16,68,-0.99
ABLIM1,no link,non-devreg,non-CNS,luxury,227190,778,8,319,-0.24
ABLIM2,no link,non-devreg,non-CNS,luxury,193523,645,16,302,-1.51
ABLIM3,no link,non-devreg,non-CNS,luxury,118946,683,10,233,-1.15
ABO,no link,non-devreg,non-CNS,luxury,20068,354,2,40,NA
ABR,no link,Devreg,CNS,luxury,176409,859,10,298,-1.04
ABRA,no link,non-devreg,non-CNS,luxury,10762,381,2,15,-0.2
ABRACL,no link,non-devreg,non-CNS,luxury,14621,81,2,33,0.04
ABT1,no link,non-devreg,CNS,housekeeping,3107,272,2,0,-0.27
ABTB1,no link,non-devreg,non-CNS,luxury,7989,478,4,7,-0.95
ABTB2,no link,non-devreg,non-CNS,luxury,207022,1025,2,387,-1.01
ACAA1,no link,non-devreg,non-CNS,luxury,14533,424,4,20,0.06
ACAA2,no link,non-devreg,non-CNS,luxury,30378,397,2,41,-0.58
ACACA,no link,non-devreg,non-CNS,luxury,324976,2383,10,539,-1.61
ACACB,no link,Devreg,non-CNS,luxury,128829,2458,2,315,-1.97
ACAD10,no link,non-devreg,non-CNS,luxury,71055,1090,4,193,-0.54
ACAD11,no link,non-devreg,non-CNS,luxury,101994,780,2,130,0.6
ACAD8,no link,non-devreg,non-CNS,luxury,12313,415,2,12,-0.38
ACAD9,no link,non-devreg,non-CNS,housekeeping,33625,621,2,76,-0.84
ACADL,no link,non-devreg,non-CNS,luxury,37500,430,2,56,-0.36
ACADM,no link,non-devreg,non-CNS,luxury,39313,425,10,69,-0.25
ACADS,no link,non-devreg,non-CNS,luxury,14241,412,4,26,-0.2
ACADSB,no link,non-devreg,non-CNS,luxury,49378,432,2,90,-0.4
ACADVL,no link,non-devreg,non-CNS,housekeeping,5437,655,8,0,0.03
ACAN,no link,non-devreg,CNS,luxury,71912,2530,4,104,1.28
ACAP1,no link,non-devreg,non-CNS,luxury,14946,740,2,34,0.0
ACAP2,no link,non-devreg,non-CNS,luxury,168353,778,2,310,-0.6
ACAP3,no link,non-devreg,non-CNS,housekeeping,15506,834,2,4,-0.35
ACAT1,no link,non-devreg,CNS,luxury,26634,427,2,60,-0.54
ACAT2,no link,non-devreg,non-CNS,luxury,17099,397,4,33,-0.36
ACBD3,no link,non-devreg,non-CNS,housekeeping,42044,528,2,78,0.15
ACBD4,no link,non-devreg,non-CNS,luxury,8530,341,10,15,0.46
ACBD5,no link,non-devreg,non-CNS,housekeeping,45666,525,14,88,-0.56
ACBD6,no link,non-devreg,non-CNS,housekeeping,214671,282,2,343,-0.43
ACBD7,no link,non-devreg,non-CNS,luxury,13302,88,2,28,0.15
ACCS,no link,non-devreg,non-CNS,luxury,17841,501,4,40,0.29
ACCSL,no link,non-devreg,non-CNS,luxury,11997,568,2,21,-0.15
ACD,no link,non-devreg,non-CNS,luxury,3304,544,6,0,-0.6
ACE,no link,Devreg,non-CNS,luxury,21320,1306,6,17,-0.57
ACE2,no link,non-devreg,non-CNS,luxury,41037,805,2,64,0.89
ACER1,no link,non-devreg,non-CNS,luxury,27131,264,2,95,-0.03
ACER2,no link,non-devreg,non-CNS,luxury,43576,275,2,72,0.17
ACER3,no link,non-devreg,non-CNS,luxury,162934,267,8,338,0.06
ACHE,no link,non-devreg,non-CNS,luxury,5927,617,10,1,-0.6
ACIN1,no link,Devreg,non-CNS,housekeeping,37050,1341,10,33,-0.44
ACKR1,no link,non-devreg,non-CNS,luxury,1242,338,4,0,0.28
ACKR2,no link,non-devreg,non-CNS,luxury,57811,384,2,112,0.46
ACKR3,no link,non-devreg,non-CNS,luxury,12615,362,2,2,0.04
ACKR4,no link,non-devreg,non-CNS,luxury,5289,350,4,6,0.53
ACLY,no link,non-devreg,non-CNS,housekeeping,52094,1101,8,88,-0.77
ACMSD,no link,non-devreg,non-CNS,luxury,63417,336,2,113,-0.4
ACO1,no link,non-devreg,non-CNS,luxury,66232,889,4,80,-1.08
ACO2,no link,non-devreg,non-CNS,luxury,59865,780,2,144,-1.0
ACOT1,no link,non-devreg,non-CNS,luxury,6571,421,2,11,NA
ACOT11,no link,non-devreg,non-CNS,luxury,62199,594,4,148,0.72
ACOT12,no link,non-devreg,non-CNS,luxury,64042,555,2,100,0.16
ACOT13,no link,non-devreg,non-CNS,housekeeping,38033,140,4,72,0.33
ACOT2,no link,non-devreg,non-CNS,luxury,6600,483,2,10,NA
ACOT4,no link,non-devreg,non-CNS,luxury,4061,421,2,4,0.28
ACOT6,no link,non-devreg,non-CNS,luxury,3045,207,2,7,0.55
ACOT7,no link,non-devreg,non-CNS,luxury,129495,370,8,226,-0.76
ACOT8,no link,non-devreg,non-CNS,housekeeping,15689,319,2,49,0.11
ACOT9,no link,non-devreg,non-CNS,housekeeping,39631,448,4,92,0.44
ACOX1,no link,non-devreg,non-CNS,housekeeping,37927,660,6,74,0.13
ACOX2,no link,non-devreg,non-CNS,luxury,32067,681,2,66,-0.57
ACOX3,no link,non-devreg,non-CNS,housekeeping,74444,700,4,99,-0.79
ACOXL,no link,non-devreg,non-CNS,luxury,385650,580,2,508,1.87
ACP1,no link,non-devreg,non-CNS,housekeeping,13414,158,6,20,0.26
ACP2,no link,non-devreg,non-CNS,luxury,9605,423,10,13,0.09
ACP5,no link,non-devreg,non-CNS,luxury,4327,325,8,4,0.35
ACP6,no link,non-devreg,non-CNS,luxury,23467,428,2,37,0.86
ACPP,no link,non-devreg,non-CNS,luxury,50936,418,6,93,-0.6
ACPT,no link,non-devreg,non-CNS,luxury,4810,426,2,6,-0.22
ACR,no link,non-devreg,non-CNS,luxury,7076,421,2,6,-0.6
ACRBP,no link,non-devreg,non-CNS,luxury,9339,543,2,12,-0.69
ACRC,no link,non-devreg,non-CNS,luxury,35560,691,2,60,-0.35
ACRV1,no link,non-devreg,non-CNS,luxury,8565,265,8,14,0.08
ACSBG1,no link,non-devreg,non-CNS,luxury,63863,724,4,125,-0.37
ACSBG2,no link,non-devreg,non-CNS,luxury,57403,666,10,156,1.72
ACSF2,no link,non-devreg,non-CNS,luxury,48682,615,12,116,-0.18
ACSF3,no link,non-devreg,non-CNS,housekeeping,61955,576,8,71,-0.88
ACSL1,no link,non-devreg,non-CNS,luxury,70467,698,10,89,-0.84
ACSL3,no link,non-devreg,CNS,housekeeping,82388,720,4,112,0.13
ACSL4,no link,non-devreg,non-CNS,luxury,92058,711,4,125,-0.56
ACSL5,no link,non-devreg,non-CNS,luxury,52183,739,6,93,0.27
ACSL6,no link,non-devreg,non-CNS,luxury,61689,722,12,60,-0.64
ACSM1,no link,non-devreg,non-CNS,luxury,68020,577,2,108,0.12
ACSM2B,no link,non-devreg,non-CNS,luxury,39613,577,4,66,0.56
ACSM3,no link,non-devreg,non-CNS,luxury,33168,586,4,73,1.29
ACSM4,no link,non-devreg,non-CNS,luxury,24042,580,2,48,-0.46
ACSM5,no link,non-devreg,non-CNS,luxury,31426,579,2,59,3.18
ACSM6,no link,non-devreg,non-CNS,luxury,34730,480,2,63,0.68
ACSS1,no link,non-devreg,non-CNS,luxury,51953,689,8,63,-0.95
ACSS2,asd-linked,non-devreg,non-CNS,housekeeping,51442,714,6,140,-0.49
ACSS3,no link,non-devreg,non-CNS,luxury,177774,686,2,226,-0.42
ACTA1,no link,non-devreg,non-CNS,luxury,2851,377,2,0,-0.3
ACTA2,no link,non-devreg,non-CNS,luxury,17750,377,4,19,-0.27
ACTB,no link,non-devreg,CNS,luxury,3454,375,2,0,-0.67
ACTBL2,no link,non-devreg,non-CNS,luxury,2794,376,2,0,0.89
ACTC1,no link,non-devreg,non-CNS,luxury,7631,377,2,3,-0.21
ACTG1,no link,non-devreg,non-CNS,luxury,2896,375,4,0,-1.93
ACTG2,no link,non-devreg,non-CNS,luxury,26688,376,4,53,-0.36
ACTL10,no link,non-devreg,non-CNS,luxury,2028,245,2,0,NA
ACTL6A,no link,non-devreg,non-CNS,luxury,25486,429,6,53,0.28
ACTL6B,no link,non-devreg,non-CNS,luxury,13359,426,2,31,-0.34
ACTL7A,no link,non-devreg,non-CNS,luxury,1433,435,2,0,-0.13
ACTL7B,no link,non-devreg,non-CNS,luxury,1407,415,2,0,-0.29
ACTL8,no link,non-devreg,non-CNS,luxury,71751,366,2,161,-0.07
ACTL9,no link,non-devreg,non-CNS,luxury,1422,416,2,0,0.33
ACTN1,no link,non-devreg,non-CNS,luxury,105244,914,6,163,-1.33
ACTN2,no link,non-devreg,non-CNS,luxury,77789,894,6,81,-1.72
ACTN3,no link,Devreg,non-CNS,luxury,16934,944,4,35,NA
ACTN4,no link,Devreg,non-CNS,luxury,82905,911,2,124,-0.71
ACTR10,no link,non-devreg,non-CNS,housekeeping,35521,417,2,85,-0.25
ACTR1A,no link,non-devreg,non-CNS,housekeeping,23527,376,2,45,-0.36
ACTR1B,no link,non-devreg,non-CNS,housekeeping,8160,376,2,1,-0.36
ACTR2,no link,non-devreg,non-CNS,luxury,43562,399,4,76,-0.1
ACTR3,no link,non-devreg,non-CNS,luxury,71619,418,4,115,0.13
ACTR3B,no link,non-devreg,non-CNS,luxury,95631,418,4,167,-0.43
ACTR3C,no link,non-devreg,non-CNS,luxury,76458,210,4,134,0.48
ACTR5,no link,non-devreg,non-CNS,housekeeping,23993,607,2,39,0.27
ACTR6,no link,non-devreg,non-CNS,luxury,24338,396,2,59,-0.25
ACTR8,no link,non-devreg,non-CNS,housekeeping,15136,624,2,16,-0.62
ACTRT1,no link,non-devreg,non-CNS,luxury,1442,376,2,0,0.37
ACTRT2,no link,non-devreg,non-CNS,luxury,1422,377,2,0,0.49
ACTRT3,no link,non-devreg,non-CNS,luxury,2973,372,2,1,0.95
ACVR1,no link,Devreg,non-CNS,housekeeping,139417,509,4,188,-0.51
ACVR1B,no link,Devreg,CNS,housekeeping,45413,546,6,83,-0.41
ACVR1C,no link,Devreg,non-CNS,luxury,102121,493,8,114,-0.05
ACVR2A,no link,Devreg,non-CNS,luxury,85824,513,6,88,-0.34
ACVR2B,no link,Devreg,non-CNS,luxury,38844,512,2,38,-0.78
ACVRL1,no link,Devreg,non-CNS,luxury,11033,503,4,13,-1.02
ACY1,no link,non-devreg,non-CNS,luxury,5919,408,10,8,0.33
ACY3,no link,non-devreg,non-CNS,luxury,8105,319,2,13,-0.24
ACYP1,no link,non-devreg,non-CNS,luxury,10809,99,6,24,-0.03
ACYP2,no link,non-devreg,non-CNS,luxury,190026,99,2,373,0.08
ADA,no link,Devreg,non-CNS,luxury,32214,363,2,83,-0.09
ADAD1,no link,non-devreg,non-CNS,luxury,50353,565,6,63,-0.23
ADAD2,no link,non-devreg,non-CNS,luxury,6050,583,4,6,0.14
ADAL,no link,non-devreg,non-CNS,luxury,23225,328,4,41,0.26
ADAM10,no link,non-devreg,non-CNS,luxury,153668,748,2,249,-0.38
ADAM11,no link,non-devreg,non-CNS,luxury,4375,263,2,3,-1.07
ADAM12,no link,non-devreg,non-CNS,luxury,374226,909,10,417,0.01
ADAM15,no link,non-devreg,non-CNS,luxury,11505,863,18,13,-0.57
ADAM17,no link,non-devreg,non-CNS,luxury,66507,824,2,124,0.6
ADAM18,no link,non-devreg,non-CNS,luxury,145497,739,4,199,0.59
ADAM19,no link,non-devreg,non-CNS,luxury,98520,918,2,194,0.92
ADAM2,no link,non-devreg,non-CNS,luxury,94554,735,6,149,0.87
ADAM20,no link,non-devreg,non-CNS,luxury,12655,776,2,18,-0.13
ADAM21,no link,non-devreg,non-CNS,luxury,7749,722,2,9,-0.11
ADAM22,no link,non-devreg,CNS,luxury,268639,906,10,334,-0.55
ADAM23,no link,non-devreg,CNS,luxury,177487,832,2,195,-0.04
ADAM28,no link,non-devreg,non-CNS,luxury,61147,775,6,77,0.76
ADAM29,no link,non-devreg,non-CNS,luxury,59823,820,14,73,0.11
ADAM30,no link,non-devreg,non-CNS,luxury,2992,790,2,0,-0.31
ADAM32,no link,non-devreg,non-CNS,luxury,177387,787,2,236,0.38
ADAM33,no link,non-devreg,non-CNS,luxury,14119,813,6,8,0.8
ADAM7,no link,non-devreg,non-CNS,luxury,68569,754,2,79,0.12
ADAM8,no link,Devreg,non-CNS,luxury,14488,824,6,7,NA
ADAM9,no link,Devreg,non-CNS,luxury,108275,819,2,195,-0.2
ADAMDEC1,no link,non-devreg,non-CNS,luxury,21729,470,6,18,1.4
ADAMTS1,no link,Devreg,non-CNS,luxury,9123,967,2,2,0.07
ADAMTS10,no link,non-devreg,non-CNS,luxury,30463,1103,4,57,-1.32
ADAMTS12,no link,Devreg,non-CNS,luxury,364838,1594,2,512,0.87
ADAMTS13,no link,non-devreg,non-CNS,luxury,37389,1427,6,79,0.62
ADAMTS14,no link,non-devreg,non-CNS,luxury,89637,1226,4,149,-0.55
ADAMTS15,no link,non-devreg,non-CNS,luxury,27671,950,2,37,0.68
ADAMTS16,no link,Devreg,non-CNS,luxury,179970,1224,2,189,0.68
ADAMTS17,no link,non-devreg,non-CNS,luxury,370541,1095,2,467,-2.27
ADAMTS18,no link,non-devreg,non-CNS,luxury,152987,1221,2,259,-0.09
ADAMTS19,no link,non-devreg,non-CNS,luxury,278274,1207,2,353,-0.55
ADAMTS2,no link,non-devreg,non-CNS,luxury,234580,1211,4,310,-1.8
ADAMTS20,no link,Devreg,non-CNS,luxury,197713,1910,2,229,-0.75
ADAMTS3,no link,non-devreg,non-CNS,luxury,287831,1205,2,322,-0.65
ADAMTS4,no link,non-devreg,non-CNS,luxury,9308,837,2,10,0.09
ADAMTS5,no link,non-devreg,non-CNS,luxury,49209,930,2,37,0.25
ADAMTS6,no link,non-devreg,non-CNS,luxury,333142,1117,2,434,-0.57
ADAMTS7,no link,Devreg,non-CNS,luxury,52229,1686,2,97,2.52
ADAMTS8,no link,non-devreg,non-CNS,luxury,23722,889,2,27,0.67
ADAMTS9,no link,Devreg,non-CNS,luxury,172035,1935,2,227,-2.39
ADAMTSL1,no link,non-devreg,non-CNS,luxury,436869,1762,4,536,-0.86
ADAMTSL2,no link,non-devreg,non-CNS,luxury,40667,951,4,49,NA
ADAMTSL3,no link,non-devreg,non-CNS,luxury,385756,1691,4,594,0.33
ADAMTSL4,no link,non-devreg,non-CNS,luxury,11515,1074,8,4,0.0
ADAMTSL5,no link,non-devreg,non-CNS,luxury,8172,471,2,13,0.44
ADAP1,no link,non-devreg,non-CNS,luxury,56770,374,10,74,-0.93
ADAP2,no link,non-devreg,non-CNS,luxury,37458,381,2,107,-0.45
ADAR,no link,non-devreg,non-CNS,luxury,26191,1226,10,27,-0.64
ADARB1,no link,non-devreg,non-CNS,luxury,151986,741,8,168,-0.8
ADARB2,no link,non-devreg,non-CNS,luxury,556418,739,2,447,-0.51
ADAT1,no link,non-devreg,non-CNS,luxury,24975,502,2,64,0.8
ADAT2,no link,non-devreg,non-CNS,luxury,27873,191,4,40,0.19
ADAT3,no link,non-devreg,non-CNS,luxury,8076,367,2,13,NA
ADCK1,no link,non-devreg,non-CNS,luxury,133872,523,4,308,-1.15
ADCK2,no link,non-devreg,non-CNS,housekeeping,21956,626,2,42,0.69
ADCK3,no link,non-devreg,non-CNS,luxury,47309,647,2,45,-1.7
ADCK4,no link,non-devreg,non-CNS,housekeeping,25357,544,4,69,0.03
ADCK5,no link,non-devreg,non-CNS,luxury,20723,580,2,24,0.0
ADCY1,no link,non-devreg,non-CNS,luxury,148590,1119,4,143,-1.39
ADCY10,no link,non-devreg,non-CNS,luxury,104829,1610,6,204,0.64
ADCY2,no link,non-devreg,non-CNS,luxury,433852,1091,2,495,0.12
ADCY3,no link,non-devreg,non-CNS,luxury,100017,1144,2,187,-2.17
ADCY4,no link,non-devreg,non-CNS,luxury,16723,1077,6,19,-2.32
ADCY5,no link,non-devreg,non-CNS,luxury,166250,1261,4,222,-2.39
ADCY6,no link,Devreg,non-CNS,luxury,17903,1168,2,24,-1.19
ADCY7,no link,non-devreg,non-CNS,luxury,30221,1080,4,34,-3.02
ADCY8,no link,non-devreg,non-CNS,luxury,260289,1251,2,476,-1.28
ADCY9,no link,non-devreg,non-CNS,luxury,153537,1353,2,303,-1.78
ADCYAP1,no link,Devreg,CNS,luxury,6977,176,4,0,-0.19
ADCYAP1R1,no link,non-devreg,non-CNS,luxury,59018,496,8,64,-0.16
ADD1,no link,non-devreg,non-CNS,luxury,86219,768,10,163,-0.93
ADD2,no link,non-devreg,non-CNS,luxury,105632,726,10,158,-0.26
ADD3,no link,non-devreg,non-CNS,luxury,127613,706,6,184,0.16
ADGB,no link,non-devreg,non-CNS,luxury,216462,1667,2,305,NA
ADGRA1,no link,non-devreg,non-CNS,luxury,60747,1279,4,21,-0.14
ADGRA2,no link,non-devreg,CNS,luxury,47104,1338,2,65,-0.14
ADGRA3,no link,non-devreg,non-CNS,luxury,128681,1321,2,191,-0.07
ADGRB1,no link,non-devreg,non-CNS,luxury,80992,1584,2,67,NA
ADGRB3,no link,non-devreg,non-CNS,luxury,753772,1522,2,786,-1.74
ADGRD1,no link,non-devreg,non-CNS,luxury,187557,874,2,210,-0.23
ADGRE1,no link,non-devreg,non-CNS,luxury,52905,886,10,142,2.74
ADGRE2,no link,non-devreg,non-CNS,luxury,45845,823,4,111,2.36
ADGRE3,no link,non-devreg,non-CNS,luxury,55680,652,6,161,1.22
ADGRE5,no link,non-devreg,non-CNS,luxury,27582,835,6,60,-1.1
ADGRF1,no link,non-devreg,non-CNS,luxury,42270,910,4,64,0.7
ADGRF2,no link,non-devreg,non-CNS,luxury,41208,642,2,58,NA
ADGRF3,no link,non-devreg,non-CNS,luxury,9106,1079,6,4,3.57
ADGRF4,no link,non-devreg,non-CNS,luxury,23469,695,2,26,1.87
ADGRF5,no link,non-devreg,non-CNS,luxury,69473,1346,4,94,-0.74
ADGRG1,no link,non-devreg,CNS,luxury,45035,693,22,82,-0.51
ADGRG2,no link,non-devreg,non-CNS,luxury,133331,1017,18,266,0.51
ADGRG3,no link,non-devreg,non-CNS,luxury,21134,549,2,46,-0.11
ADGRG4,no link,non-devreg,non-CNS,luxury,115926,3080,2,190,0.08
ADGRG5,asd-linked,non-devreg,non-CNS,luxury,34500,528,4,75,0.18
ADGRG6,no link,non-devreg,non-CNS,luxury,144348,1250,8,142,-0.17
ADGRG7,no link,non-devreg,non-CNS,luxury,85891,797,2,115,0.81
ADGRL1,asd-linked,non-devreg,non-CNS,luxury,58449,1474,4,116,-2.63
ADGRL2,no link,non-devreg,non-CNS,luxury,192026,1403,8,133,-0.19
ADGRL3,no link,non-devreg,non-CNS,luxury,575330,1469,2,662,-0.37
ADGRL4,no link,non-devreg,non-CNS,luxury,117047,690,2,114,1.0
ADGRV1,asd-linked,non-devreg,non-CNS,luxury,605417,6306,2,701,8.12
ADH1A,no link,non-devreg,non-CNS,luxury,14663,375,2,18,-0.45
ADH1B,no link,non-devreg,non-CNS,luxury,15046,375,4,18,0.55
ADH1C,no link,non-devreg,non-CNS,luxury,16269,375,2,19,NA
ADH4,no link,non-devreg,non-CNS,luxury,20617,380,2,35,0.17
ADH5,asd-linked,non-devreg,non-CNS,housekeeping,17802,374,2,28,0.19
ADH6,no link,non-devreg,non-CNS,luxury,16609,375,4,23,-0.32
ADH7,no link,non-devreg,non-CNS,luxury,22874,394,4,22,0.22
ADHFE1,no link,non-devreg,non-CNS,luxury,36327,467,2,58,-0.45
ADI1,no link,non-devreg,non-CNS,housekeeping,21661,179,2,36,-0.21
ADIG,no link,Devreg,non-CNS,luxury,7267,80,2,12,0.08
ADIPOQ,no link,Devreg,non-CNS,luxury,15790,244,4,29,0.13
ADIPOR1,no link,non-devreg,non-CNS,housekeeping,17565,375,8,19,-0.3
ADIPOR2,no link,non-devreg,non-CNS,housekeeping,97599,386,2,175,0.28
