symbol,gi,protlen,transcripts,length,introns,mcs_ds,dmcs_ds,asd,DevReg,cns,housekeeping,RVIS,te,teLINE_L1,teLINE_L2,teSINE_MIR,teSINE_Alu,teL1_L1M,teL1_L1PA,dte,dteLINE_L1,dteLINE_L2,dteSINE_MIR,dteSINE_Alu,dteL1_L1M,dteL1_L1PA
AADACL2,344752,401,2,23853,3,163,6.833521989,no link,non-devreg,non-CNS,luxury,-0.31,21,11,0,1,4,9,2,0.880392403,0.461157926,0,0.041923448,0.167693791,0.37731103,0.083846896
AADACL3,126767,350,2,12609,2,31,2.458561345,no link,non-devreg,non-CNS,luxury,2.13,23,2,0,3,8,2,0,1.824093901,0.158616861,0,0.237925291,0.634467444,0.158616861,0
AADACL4,343066,407,2,22532,2,87,3.861175217,no link,non-devreg,non-CNS,luxury,-0.62,52,1,8,7,17,1,0,2.307828866,0.044381324,0.355050595,0.31066927,0.754482514,0.044381324,0
AADAT,51166,425,8,29811,11,712,23.88380128,no link,non-devreg,non-CNS,luxury,-0.12,39,9,8,2,9,8,1,1.308241924,0.301901982,0.268357318,0.067089329,0.301901982,0.268357318,0.033544665
AAED1,195827,226,2,14067,4,207,14.71529111,no link,non-devreg,non-CNS,luxury,0.17,23,3,1,0,15,3,0,1.635032345,0.213265089,0.071088363,0,1.066325443,0.213265089,0
AAGAB,79719,315,6,54062,8,689,12.74462654,no link,non-devreg,non-CNS,housekeeping,0.02,81,13,7,20,24,11,2,1.498279753,0.240464652,0.129480966,0.369945618,0.443934742,0.20347009,0.036994562
AAK1,22848,961,2,185851,20,1960,10.54608261,no link,non-devreg,non-CNS,luxury,-0.66,289,51,32,43,100,43,4,1.55500912,0.274413374,0.172180941,0.231368139,0.53806544,0.231368139,0.021522618
AAMDC,28971,122,2,51191,2,82,1.601844074,no link,Devreg,non-CNS,luxury,0.28,137,32,6,9,56,29,3,2.676251685,0.625109883,0.117208103,0.175812154,1.093942295,0.566505831,0.058604051
AAMP,14,434,4,6042,9,139,23.00562728,no link,non-devreg,non-CNS,housekeeping,0.04,6,0,2,0,4,0,0,0.993048659,0,0.33101622,0,0.66203244,0,0
AANAT,15,207,4,2570,2,29,11.28404669,no link,non-devreg,non-CNS,luxury,-0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAR2,25980,384,4,20525,2,158,7.697929354,no link,non-devreg,non-CNS,housekeeping,-0.31,45,9,8,11,12,9,0,2.192448234,0.438489647,0.389768575,0.53593179,0.584652862,0.438489647,0
AARD,441376,155,2,5776,0,0,0,no link,non-devreg,non-CNS,luxury,NA,8,1,1,2,2,0,0,1.385041551,0.173130194,0.173130194,0.346260388,0.346260388,0,0
AARS,16,968,2,37116,19,707,19.04838884,no link,non-devreg,CNS,housekeeping,-0.66,96,3,4,6,73,3,0,2.586485613,0.080827675,0.107770234,0.161655351,1.966806768,0.080827675,0
AARS2,57505,985,2,14601,20,357,24.45038011,no link,non-devreg,non-CNS,housekeeping,1.14,23,0,12,5,4,0,0,1.575234573,0,0.821861516,0.342442298,0.273953839,0,0
AARSD1,80755,412,2,13973,10,304,21.75624419,no link,non-devreg,non-CNS,housekeeping,-0.07,40,3,9,3,25,3,0,2.862663709,0.214699778,0.644099334,0.214699778,1.789164818,0.214699778,0
AASDH,132949,1098,12,49182,13,666,13.54153959,no link,non-devreg,non-CNS,luxury,1.05,85,15,1,7,38,14,1,1.728274572,0.30498963,0.020332642,0.142328494,0.772640397,0.284656988,0.020332642
AASDHPPT,60496,309,2,21128,4,198,9.371450208,no link,non-devreg,non-CNS,housekeeping,-0.38,37,10,5,6,5,8,1,1.751230594,0.473305566,0.236652783,0.28398334,0.236652783,0.378644453,0.047330557
AASS,10157,926,2,70747,22,1038,14.67200023,no link,non-devreg,non-CNS,luxury,-0.91,109,36,21,14,19,28,6,1.540701372,0.508855499,0.296832375,0.19788825,0.268562625,0.395776499,0.08480925
AATF,26574,560,2,107997,10,1807,16.73194626,no link,non-devreg,non-CNS,housekeeping,-0.29,188,43,21,20,79,29,0,1.740789096,0.398159208,0.194449846,0.185190329,0.731501801,0.268525978,0
AATK,9625,1374,4,48777,12,264,5.412386986,no link,non-devreg,CNS,luxury,NA,51,8,0,7,22,8,0,1.045574759,0.164011727,0,0.143510261,0.451032249,0.164011727,0
ABAT,18,500,6,109989,14,722,6.564292793,no link,non-devreg,non-CNS,luxury,-0.33,292,39,28,55,115,38,1,2.654810936,0.354580913,0.254570912,0.500050005,1.045559101,0.345489094,0.009091818
ABCA1,19,2261,2,147244,48,3583,24.33375893,no link,Devreg,non-CNS,luxury,-0.24,227,23,31,72,64,23,0,1.541658743,0.156203309,0.210534894,0.488984271,0.434652685,0.156203309,0
ABCA10,10349,1543,2,96809,38,305,3.150533525,no link,non-devreg,non-CNS,luxury,1.04,118,32,19,12,21,20,1,1.218894937,0.33054778,0.196262744,0.123955417,0.21692198,0.206592362,0.010329618
ABCA12,26154,2595,4,206886,51,3869,18.70112042,no link,non-devreg,non-CNS,luxury,-0.3,234,45,34,46,61,26,13,1.131057684,0.217511093,0.164341715,0.222344673,0.294848371,0.125673076,0.062836538
ABCA13,154664,5058,2,476035,60,6313,13.26162992,asd-linked,non-devreg,non-CNS,luxury,4.73,608,207,61,78,84,154,24,1.277217011,0.434841976,0.128141838,0.163853498,0.176457613,0.323505625,0.050416461
ABCA2,20,2436,4,21055,46,620,29.44668725,asd-linked,non-devreg,non-CNS,luxury,-4.24,2,0,0,0,2,0,0,0.094989314,0,0,0,0.094989314,0,0
ABCA3,21,1704,2,64869,31,1066,16.43311906,no link,non-devreg,non-CNS,luxury,-1.48,112,7,4,3,80,4,1,1.726556599,0.107909787,0.061662736,0.046247052,1.233254713,0.061662736,0.015415684
ABCA4,24,2273,2,128312,48,3907,30.44921753,no link,non-devreg,non-CNS,luxury,0.74,149,18,30,36,19,16,2,1.161231997,0.14028306,0.2338051,0.28056612,0.148076563,0.124696053,0.015587007
ABCA5,23461,1642,4,82748,37,1819,21.98240441,no link,Devreg,non-CNS,luxury,0.77,111,28,8,16,37,19,6,1.341422149,0.338376758,0.096679074,0.193358148,0.447140716,0.2296128,0.072509305
ABCA6,23460,1617,2,63169,37,2020,31.97771059,no link,non-devreg,non-CNS,luxury,0.26,78,19,16,13,12,14,4,1.234782884,0.300780446,0.253288797,0.205797147,0.189966598,0.221627697,0.063322199
ABCA7,10347,2146,2,25469,45,673,26.4242805,no link,non-devreg,non-CNS,luxury,-2.15,30,0,5,2,21,0,0,1.177902548,0,0.196317091,0.078526837,0.824531784,0,0
ABCA8,10351,1581,6,88103,36,1743,19.7836623,no link,non-devreg,non-CNS,luxury,0.91,99,43,5,11,17,32,7,1.123684778,0.488065106,0.056751756,0.124853864,0.192955972,0.363211241,0.079452459
ABCA9,10350,1624,2,86364,37,1823,21.10833218,no link,non-devreg,non-CNS,luxury,0,105,26,14,18,22,15,5,1.215784355,0.301051364,0.162104581,0.208420175,0.25473577,0.173683479,0.057894493
ABCB1,5243,1280,2,209461,27,2912,13.90234936,no link,non-devreg,non-CNS,luxury,0.1,297,70,46,41,74,55,11,1.417925055,0.33419109,0.219611288,0.195740496,0.353287724,0.262578714,0.052515743
ABCB10,23456,738,2,42114,11,311,7.384717671,no link,non-devreg,non-CNS,housekeeping,-0.13,79,8,7,7,38,8,0,1.875860759,0.189960583,0.16621551,0.16621551,0.90231277,0.189960583,0
ABCB11,8647,1321,2,108385,26,2382,21.97721087,no link,non-devreg,non-CNS,luxury,-1.14,142,51,20,29,12,36,3,1.310144393,0.470544817,0.184527379,0.2675647,0.110716428,0.332149283,0.027679107
ABCB4,5244,1286,6,73659,26,2175,29.52795992,no link,non-devreg,non-CNS,luxury,-0.55,95,20,9,20,19,16,4,1.289726985,0.271521471,0.122184662,0.271521471,0.257945397,0.217217176,0.054304294
ABCB5,340273,1257,8,141393,26,2378,16.81837149,no link,non-devreg,non-CNS,luxury,4.18,211,64,22,17,68,52,9,1.492294527,0.452639098,0.15559469,0.12023226,0.480929042,0.367769267,0.063652373
ABCB6,10058,842,2,10687,17,287,26.85505755,no link,non-devreg,CNS,luxury,-0.37,10,1,0,1,8,1,0,0.935716291,0.093571629,0,0.093571629,0.748573033,0.093571629,0
ABCB7,22,753,10,103169,14,1291,12.51344881,no link,non-devreg,non-CNS,housekeeping,0.86,119,42,16,12,20,30,5,1.153447256,0.407099032,0.155085345,0.116314009,0.193856682,0.290785023,0.04846417
ABCB8,11194,718,8,19360,14,312,16.11570248,no link,non-devreg,non-CNS,luxury,0.3,16,1,3,1,9,1,0,0.826446281,0.051652893,0.154958678,0.051652893,0.464876033,0.051652893,0
ABCB9,23457,766,10,37518,10,308,8.209392825,no link,non-devreg,non-CNS,luxury,-1.82,105,16,11,20,52,16,0,2.798656645,0.426461965,0.293192601,0.533077456,1.386001386,0.426461965,0
ABCC1,4363,1531,2,193497,29,1345,6.95101216,asd-linked,non-devreg,non-CNS,luxury,-0.84,524,38,55,65,250,35,3,2.708052321,0.196385474,0.284242133,0.335922521,1.292009695,0.180881357,0.015504116
ABCC10,89845,1492,4,22872,20,634,27.71948234,no link,non-devreg,non-CNS,luxury,-1.71,32,1,4,5,19,0,1,1.399090591,0.043721581,0.174886324,0.218607905,0.830710038,0,0.043721581
ABCC11,85320,1382,6,68267,28,449,6.577116323,no link,non-devreg,non-CNS,luxury,1.62,160,28,19,45,37,20,4,2.343738556,0.410154247,0.278318954,0.659176469,0.541989541,0.292967319,0.058593464
ABCC12,94160,1359,2,63798,27,1445,22.64961284,no link,non-devreg,non-CNS,luxury,1.11,96,7,21,23,12,3,1,1.504749365,0.109721308,0.329163924,0.360512869,0.188093671,0.047023418,0.015674473
ABCC2,1244,1545,2,69200,30,1768,25.54913295,no link,non-devreg,non-CNS,luxury,0.96,108,13,11,13,41,12,1,1.560693642,0.187861272,0.158959538,0.187861272,0.592485549,0.173410405,0.014450867
ABCC3,8714,1527,4,56846,29,1175,20.66988003,no link,non-devreg,non-CNS,luxury,0.69,115,7,18,25,45,4,0,2.023009535,0.123139711,0.316644971,0.439784681,0.791612427,0.070365549,0
ABCC4,10257,1325,8,281605,29,4216,14.97132508,no link,non-devreg,non-CNS,luxury,0.21,449,68,43,45,209,55,8,1.594431917,0.241472985,0.152696152,0.159798299,0.742174322,0.195309032,0.028408586
ABCC5,10057,1437,4,98004,28,1520,15.50957104,no link,non-devreg,non-CNS,luxury,-1.97,160,22,14,15,75,19,3,1.632586425,0.224480633,0.142851312,0.153054977,0.765274887,0.193869638,0.030610995
ABCC6,368,1503,4,73907,29,1050,14.20704399,no link,non-devreg,non-CNS,luxury,0.63,210,12,27,53,76,11,0,2.841408798,0.162366217,0.365323988,0.717117458,1.028319374,0.148835699,0
ABCC8,6833,1581,4,84018,37,2218,26.39910495,no link,non-devreg,non-CNS,luxury,-2.09,140,14,25,49,23,12,2,1.6663096,0.16663096,0.297555286,0.58320836,0.273750863,0.142826537,0.023804423
ABCC9,10060,1549,4,139305,36,3022,21.69340655,no link,non-devreg,non-CNS,luxury,-1.97,162,37,38,35,21,23,11,1.162915904,0.26560425,0.272782743,0.251247263,0.150748358,0.165105344,0.078963426
ABCD1,215,745,2,19894,8,246,12.36553735,no link,non-devreg,non-CNS,luxury,-0.54,17,2,2,1,9,2,0,0.854529004,0.100532824,0.100532824,0.050266412,0.452397708,0.100532824,0
ABCD2,225,740,2,68822,8,982,14.26869315,no link,non-devreg,non-CNS,luxury,-0.09,69,21,4,13,20,18,3,1.002586382,0.305134986,0.05812095,0.188893087,0.290604748,0.261544274,0.043590712
ABCD3,5825,659,4,100287,21,1337,13.33173791,no link,non-devreg,non-CNS,housekeeping,-0.65,159,36,28,11,35,28,3,1.585449759,0.358969757,0.2791987,0.109685203,0.348998375,0.2791987,0.029914146
ABCD4,5826,606,2,17788,17,545,30.63863279,no link,non-devreg,non-CNS,luxury,0.8,25,3,1,6,12,3,0,1.405441871,0.168653025,0.056217675,0.337306049,0.674612098,0.168653025,0
ABCE1,6059,599,4,31521,16,732,23.2226135,no link,non-devreg,non-CNS,housekeeping,-0.25,34,7,7,2,9,6,0,1.078645982,0.222074173,0.222074173,0.063449764,0.285523936,0.190349291,0
ABCF1,23,845,4,20140,23,324,16.08738828,no link,non-devreg,non-CNS,housekeeping,-0.22,38,2,9,1,22,2,0,1.886792453,0.099304866,0.446871897,0.049652433,1.092353525,0.099304866,0
ABCF2,10061,103,4,2745,0,0,0,no link,non-devreg,non-CNS,housekeeping,-0.47,3,0,0,0,2,0,0,1.092896175,0,0,0,0.72859745,0,0
ABCF3,55324,709,2,7933,19,313,39.4554393,no link,non-devreg,non-CNS,housekeeping,-0.77,7,2,0,4,1,2,0,0.882390016,0.252111433,0,0.504222867,0.126055717,0.252111433,0
ABCG1,9619,678,12,78088,13,1227,15.7130417,no link,Devreg,non-CNS,luxury,-1.37,55,3,4,22,16,3,0,0.704333572,0.038418195,0.05122426,0.281733429,0.204897039,0.038418195,0
ABCG2,9429,655,4,68596,14,862,12.5663304,no link,non-devreg,non-CNS,luxury,-0.2,119,24,13,8,48,20,4,1.734795032,0.349874628,0.189515424,0.116624876,0.699749257,0.29156219,0.058312438
ABCG4,64137,646,4,13625,13,415,30.4587156,no link,non-devreg,non-CNS,luxury,-0.07,18,0,6,8,3,0,0,1.321100917,0,0.440366972,0.587155963,0.220183486,0,0
ABCG5,64240,651,2,26348,11,594,22.54440565,no link,non-devreg,non-CNS,luxury,1.16,45,3,6,7,19,2,0,1.707909519,0.113860635,0.227721269,0.265674814,0.721117352,0.07590709,0
ABCG8,64241,673,2,39503,11,432,10.93587829,no link,non-devreg,non-CNS,luxury,0.74,31,7,1,7,12,5,1,0.784750525,0.177201732,0.025314533,0.177201732,0.303774397,0.126572665,0.025314533
ABHD1,84696,405,2,7024,7,65,9.253986333,no link,non-devreg,non-CNS,luxury,-0.11,8,0,0,2,6,0,0,1.138952164,0,0,0.284738041,0.854214123,0,0
ABHD10,55347,306,4,14493,3,110,7.589870972,no link,non-devreg,non-CNS,housekeeping,0.6,15,1,3,2,3,1,0,1.034982405,0.068998827,0.206996481,0.137997654,0.206996481,0.068998827,0
ABHD11,83451,315,8,2766,4,35,12.65365148,no link,non-devreg,non-CNS,luxury,-0.4,2,0,0,0,1,0,0,0.723065799,0,0,0,0.361532899,0,0
ABHD12,26090,404,4,96240,11,666,6.920199501,no link,non-devreg,non-CNS,housekeeping,-0.16,158,41,11,4,78,39,1,1.641729011,0.426018288,0.114297589,0.04156276,0.810473815,0.405236908,0.01039069
ABHD12B,145447,362,4,32811,11,548,16.70171589,no link,non-devreg,non-CNS,luxury,1.04,40,7,3,5,17,7,0,1.219103349,0.213343086,0.091432751,0.152387919,0.518118924,0.213343086,0
ABHD13,84945,337,2,15841,0,0,0,no link,non-devreg,non-CNS,housekeeping,-0.32,13,0,3,2,1,0,0,0.820655262,0,0.189381983,0.126254656,0.063127328,0,0
ABHD14A,25864,271,2,6175,3,84,13.60323887,no link,non-devreg,non-CNS,housekeeping,0.77,8,2,0,2,4,2,0,1.295546559,0.32388664,0,0.32388664,0.647773279,0.32388664,0
ABHD14B,84836,210,6,6121,2,36,5.881391929,no link,non-devreg,non-CNS,luxury,0.22,11,0,0,5,6,0,0,1.797091978,0,0,0.81685999,0.980231988,0,0
ABHD15,116236,468,2,6354,0,0,0,no link,non-devreg,non-CNS,luxury,-0.25,8,0,0,0,6,0,0,1.259049418,0,0,0,0.944287063,0,0
ABHD16A,7920,558,4,16412,18,312,19.01048014,no link,non-devreg,non-CNS,housekeeping,-0.34,28,6,2,4,13,6,0,1.70606873,0.365586156,0.121862052,0.243724104,0.792103339,0.365586156,0
ABHD16B,140701,469,2,1776,0,0,0,no link,non-devreg,non-CNS,luxury,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD17A,81926,310,4,8544,3,33,3.862359551,no link,non-devreg,non-CNS,housekeeping,NA,3,0,1,1,0,0,0,0.351123596,0,0.117041199,0.117041199,0,0,0
ABHD17B,51104,293,4,48781,3,210,4.304954798,no link,non-devreg,non-CNS,housekeeping,-0.34,95,23,10,14,37,19,0,1.947479551,0.471495049,0.204997848,0.286996987,0.758492036,0.38949591,0
ABHD17C,58489,329,2,60311,1,0,0,no link,non-devreg,non-CNS,luxury,NA,93,13,12,11,27,9,1,1.542007262,0.215549402,0.198968679,0.182387956,0.447679528,0.149226509,0.016580723
ABHD2,11057,425,4,114211,9,1948,17.05615046,no link,non-devreg,non-CNS,luxury,-0.03,176,29,10,29,60,28,0,1.541007434,0.253915998,0.087557241,0.253915998,0.525343443,0.245160274,0
ABHD3,171586,409,2,53909,7,775,14.37607821,no link,non-devreg,non-CNS,luxury,-0.2,123,14,4,13,74,14,0,2.281622735,0.259696897,0.074199113,0.241147118,1.372683596,0.259696897,0
ABHD4,63874,342,2,14119,5,229,16.21927899,no link,non-devreg,non-CNS,housekeeping,-0.98,18,0,2,10,5,0,0,1.274877824,0,0.141653092,0.708265458,0.354132729,0,0
ABHD5,51099,349,2,31843,5,461,14.47727915,no link,non-devreg,non-CNS,luxury,-0.42,34,1,3,7,15,1,0,1.067738592,0.031404076,0.094212229,0.219828534,0.471061144,0.031404076,0
ABHD6,57406,337,2,57203,7,557,9.737251543,no link,non-devreg,non-CNS,luxury,-0.49,104,20,15,9,44,16,3,1.818086464,0.349632012,0.262224009,0.157334406,0.769190427,0.27970561,0.052444802
ABHD8,79575,439,2,11343,3,80,7.052807899,no link,non-devreg,non-CNS,housekeeping,-0.2,27,0,1,1,20,0,0,2.380322666,0,0.088160099,0.088160099,1.763201975,0,0
ABI1,10006,508,24,114492,10,822,7.179540929,no link,non-devreg,non-CNS,housekeeping,-0.32,219,51,15,9,84,49,1,1.912797401,0.44544597,0.131013521,0.078608112,0.733675715,0.427977501,0.008734235
ABI2,10152,475,10,103890,8,1100,10.58812205,no link,non-devreg,non-CNS,luxury,-0.36,173,30,13,9,92,26,0,1.665222832,0.288766965,0.125132352,0.08663009,0.885552026,0.250264703,0
ABI3,51225,366,4,12999,6,101,7.769828448,no link,non-devreg,non-CNS,luxury,-0.03,21,0,2,9,10,0,0,1.615508885,0,0.153857989,0.692360951,0.769289945,0,0
ABI3BP,25890,1075,2,244156,33,3789,15.51876669,no link,non-devreg,non-CNS,luxury,0.45,235,34,38,48,40,23,5,0.962499386,0.13925523,0.155638199,0.196595619,0.163829683,0.094202068,0.02047871
ABL1,25,1149,4,173795,9,448,2.577749648,no link,Devreg,CNS,luxury,-1.63,377,91,18,30,172,81,0,2.16922236,0.523605397,0.103570298,0.172617164,0.98967174,0.466066343,0
ABL2,27,1167,16,43763,10,602,13.75591253,no link,Devreg,CNS,luxury,-0.99,68,8,7,4,41,8,0,1.553824007,0.182802824,0.159952471,0.091401412,0.936864475,0.182802824,0
ABLIM1,3983,778,8,227190,20,3576,15.74012941,no link,non-devreg,non-CNS,luxury,-0.24,319,39,33,61,117,29,6,1.404111096,0.171662485,0.145252872,0.268497733,0.514987455,0.127646463,0.026409613
ABLIM2,84448,645,16,193523,19,1221,6.309327573,no link,non-devreg,non-CNS,luxury,-1.51,302,50,39,68,68,46,2,1.560538024,0.258367223,0.201526434,0.351379423,0.351379423,0.237697845,0.010334689
ABLIM3,22885,683,10,118946,22,2637,22.16972408,no link,non-devreg,non-CNS,luxury,-1.15,233,28,36,68,16,18,5,1.958872093,0.235400938,0.302658349,0.571687993,0.134514822,0.151329175,0.042035882
ABO,28,354,2,20068,6,0,0,no link,non-devreg,non-CNS,luxury,NA,40,16,1,1,14,15,0,1.993223042,0.797289217,0.049830576,0.049830576,0.697628065,0.747458641,0
ABR,29,859,10,176409,21,2218,12.57305466,no link,Devreg,CNS,luxury,-1.04,298,23,23,66,139,21,2,1.689256217,0.130378836,0.130378836,0.374130572,0.787941658,0.119041545,0.01133729
ABRA,137735,381,2,10762,0,0,0,no link,non-devreg,non-CNS,luxury,-0.2,15,1,1,8,5,0,1,1.393792975,0.092919532,0.092919532,0.743356253,0.464597658,0,0.092919532
ABRACL,58527,81,2,14621,1,0,0,no link,non-devreg,non-CNS,luxury,0.04,33,1,7,5,11,1,0,2.257027563,0.068394775,0.478763422,0.341973873,0.752342521,0.068394775,0
ABT1,29777,272,2,3107,1,0,0,no link,non-devreg,CNS,housekeeping,-0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABTB1,80325,478,4,7989,10,175,21.90511954,no link,non-devreg,non-CNS,luxury,-0.95,7,0,2,3,1,0,0,0.876204782,0,0.250344223,0.375516335,0.125172112,0,0
ABTB2,25841,1025,2,207022,15,979,4.728966004,no link,non-devreg,non-CNS,luxury,-1.01,387,35,42,116,137,33,2,1.869366541,0.169064157,0.202876989,0.560326922,0.661765416,0.159403348,0.009660809
ACAA1,30,424,4,14533,10,350,24.08312117,no link,non-devreg,non-CNS,luxury,0.06,20,0,1,3,5,0,0,1.376178353,0,0.068808918,0.206426753,0.344044588,0,0
ACAA2,10449,397,2,30378,8,453,14.91210745,no link,non-devreg,non-CNS,luxury,-0.58,41,11,1,7,10,11,0,1.349660939,0.362104154,0.032918559,0.230429916,0.329185595,0.362104154,0
ACACA,31,2383,10,324976,54,7130,21.94008173,no link,non-devreg,non-CNS,luxury,-1.61,539,81,31,56,301,67,8,1.658584019,0.249249175,0.09539166,0.172320418,0.926222244,0.206169071,0.024617203
ACACB,32,2458,2,128829,50,1933,15.00438566,no link,Devreg,non-CNS,luxury,-1.97,315,58,15,46,127,43,2,2.445101646,0.450209192,0.116433412,0.357062463,0.985802886,0.33377578,0.015524455
ACAD10,80724,1090,4,71055,20,638,8.978959961,no link,non-devreg,non-CNS,luxury,-0.54,193,38,7,13,108,38,0,2.716205756,0.534796988,0.098515235,0.182956864,1.519949335,0.534796988,0
ACAD11,84129,780,2,101994,18,1746,17.11865404,no link,non-devreg,non-CNS,luxury,0.6,130,45,17,12,28,26,16,1.274584779,0.441202424,0.166676471,0.11765398,0.274525953,0.254916956,0.156871973
ACAD8,27034,415,2,12313,9,324,26.31365224,no link,non-devreg,non-CNS,luxury,-0.38,12,1,3,1,6,1,0,0.974579712,0.081214976,0.243644928,0.081214976,0.487289856,0.081214976,0
ACAD9,28976,621,2,33625,16,518,15.40520446,no link,non-devreg,non-CNS,housekeeping,-0.84,76,15,6,8,32,15,0,2.260223048,0.446096654,0.178438662,0.237918216,0.951672862,0.446096654,0
ACADL,33,430,2,37500,9,646,17.22666667,no link,non-devreg,non-CNS,luxury,-0.36,56,4,11,10,19,4,0,1.493333333,0.106666667,0.293333333,0.266666667,0.506666667,0.106666667,0
ACADM,34,425,10,39313,10,569,14.4735838,no link,non-devreg,non-CNS,luxury,-0.25,69,7,3,9,37,5,0,1.755144609,0.178058149,0.076310635,0.228931905,0.9411645,0.127184392,0
ACADS,35,412,4,14241,8,107,7.513517309,no link,non-devreg,non-CNS,luxury,-0.2,26,0,1,6,16,0,0,1.825714486,0,0.070219788,0.421318728,1.123516607,0,0
ACADSB,36,432,2,49378,9,621,12.57645105,no link,non-devreg,non-CNS,luxury,-0.4,90,13,9,7,23,13,0,1.822674065,0.263275143,0.182267407,0.141763538,0.465794483,0.263275143,0
ACADVL,37,655,8,5437,18,204,37.52069156,no link,non-devreg,non-CNS,housekeeping,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACAN,176,2530,4,71912,16,1073,14.92101457,no link,non-devreg,CNS,luxury,1.28,104,3,12,28,20,3,0,1.446212037,0.041717655,0.16687062,0.389364779,0.278117699,0.041717655,0
ACAP1,9744,740,2,14946,20,427,28.56951693,no link,non-devreg,non-CNS,luxury,0,34,3,5,2,20,3,0,2.274856149,0.200722601,0.334537669,0.133815068,1.338150676,0.200722601,0
ACAP2,23527,778,2,168353,21,1787,10.61460146,no link,non-devreg,non-CNS,luxury,-0.6,310,82,19,16,149,73,3,1.841369028,0.487071807,0.112858102,0.095038401,0.885045114,0.433612707,0.0178197
ACAP3,116983,834,2,15506,22,401,25.86095705,no link,non-devreg,non-CNS,housekeeping,-0.35,4,0,1,0,3,0,0,0.257964659,0,0.064491165,0,0.193473494,0,0
ACAT1,38,427,2,26634,10,411,15.43140347,no link,non-devreg,CNS,luxury,-0.54,60,6,15,3,33,2,0,2.252759631,0.225275963,0.563189908,0.112637982,1.239017797,0.075091988,0
ACAT2,39,397,4,17099,7,378,22.10655594,no link,non-devreg,non-CNS,luxury,-0.36,33,6,2,4,20,6,0,1.929937423,0.350897713,0.116965904,0.233931809,1.169659044,0.350897713,0
ACBD3,64746,528,2,42044,6,398,9.466273428,no link,non-devreg,non-CNS,housekeeping,0.15,78,9,3,6,47,6,0,1.855199315,0.214061459,0.07135382,0.14270764,1.11787651,0.14270764,0
ACBD4,79777,341,10,8530,8,112,13.13012896,no link,non-devreg,non-CNS,luxury,0.46,15,4,0,4,7,4,0,1.758499414,0.468933177,0,0.468933177,0.82063306,0.468933177,0
ACBD5,91452,525,14,45666,11,575,12.59142469,no link,non-devreg,non-CNS,housekeeping,-0.56,88,8,4,1,65,7,1,1.927035431,0.175185039,0.08759252,0.02189813,1.423378443,0.153286909,0.02189813
ACBD6,84320,282,2,214671,6,2737,12.74974263,no link,non-devreg,non-CNS,housekeeping,-0.43,343,115,29,28,99,96,15,1.597793833,0.535703472,0.135090441,0.13043215,0.461170815,0.447195942,0.069874366
